Start Time, Tue Mar 3 16:27:20 GMT+0000 2026
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 85199.382144
Real Time (s), 85208.571198
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
355, 355, 881
356, 356, 862
357, 357, 893
358, 358, 873
359, 359, 911
360, 360, 943
361, 361, 874
362, 362, 850
363, 363, 903
364, 364, 892
365, 365, 887
366, 366, 874
367, 367, 880
368, 368, 869
369, 369, 841
370, 370, 878
371, 371, 869
372, 372, 866
373, 373, 866
374, 374, 870
375, 375, 831
376, 376, 873
377, 377, 824
378, 378, 880
379, 379, 855
380, 380, 868
381, 381, 837
382, 382, 859
383, 383, 826
384, 384, 839
385, 385, 903
386, 386, 798
387, 387, 821
388, 388, 899
389, 389, 791
390, 390, 889
391, 391, 871
392, 392, 812
393, 393, 839
394, 394, 798
395, 395, 852
396, 396, 761
397, 397, 797
398, 398, 794
399, 399, 821
400, 400, 844
401, 401, 816
402, 402, 800
403, 403, 826
404, 404, 822
405, 405, 833
406, 406, 824
407, 407, 878
408, 408, 762
409, 409, 812
410, 410, 784
411, 411, 787
412, 412, 815
413, 413, 794
414, 414, 781
415, 415, 810
416, 416, 728
417, 417, 750
418, 418, 796
419, 419, 780
420, 420, 814
421, 421, 806
422, 422, 806
423, 423, 716
424, 424, 788
425, 425, 759
426, 426, 801
427, 427, 790
428, 428, 818
429, 429, 808
430, 430, 748
431, 431, 749
432, 432, 745
433, 433, 780
434, 434, 779
435, 435, 718
436, 436, 725
437, 437, 753
438, 438, 726
439, 439, 730
440, 440, 699
441, 441, 734
442, 442, 724
443, 443, 725
444, 444, 728
445, 445, 696
446, 446, 761
447, 447, 721
448, 448, 737
449, 449, 730
450, 450, 715
451, 451, 704
452, 452, 738
453, 453, 708
454, 454, 761
455, 455, 692
456, 456, 724
457, 457, 743
458, 458, 762
459, 459, 742
460, 460, 752
461, 461, 725
462, 462, 749
463, 463, 718
464, 464, 766
465, 465, 729
466, 466, 724
467, 467, 673
468, 468, 692
469, 469, 715
470, 470, 684
471, 471, 734
472, 472, 704
473, 473, 679
474, 474, 731
475, 475, 739
476, 476, 674
477, 477, 716
478, 478, 708
479, 479, 696
480, 480, 681
481, 481, 709
482, 482, 701
483, 483, 781
484, 484, 721
485, 485, 679
486, 486, 687
487, 487, 742
488, 488, 686
489, 489, 660
490, 490, 703
491, 491, 632
492, 492, 722
493, 493, 649
494, 494, 672
495, 495, 640
496, 496, 724
497, 497, 609
498, 498, 662
499, 499, 643
500, 500, 648
501, 501, 663
502, 502, 640
503, 503, 637
504, 504, 663
505, 505, 672
506, 506, 614
507, 507, 626
508, 508, 643
509, 509, 619
510, 510, 659
511, 511, 613
512, 512, 622
513, 513, 640
514, 514, 640
515, 515, 639
516, 516, 651
517, 517, 656
518, 518, 649
519, 519, 680
520, 520, 641
521, 521, 643
522, 522, 639
523, 523, 583
524, 524, 636
525, 525, 617
526, 526, 645
527, 527, 622
528, 528, 637
529, 529, 572
530, 530, 634
531, 531, 633
532, 532, 620
533, 533, 623
534, 534, 624
535, 535, 625
536, 536, 608
537, 537, 634
538, 538, 576
539, 539, 574
540, 540, 609
541, 541, 599
542, 542, 662
543, 543, 606
544, 544, 631
545, 545, 638
546, 546, 626
547, 547, 624
548, 548, 624
549, 549, 653
550, 550, 589
551, 551, 611
552, 552, 597
553, 553, 603
554, 554, 578
555, 555, 600
556, 556, 620
557, 557, 620
558, 558, 602
559, 559, 557
560, 560, 624
561, 561, 604
562, 562, 584
563, 563, 580
564, 564, 576
565, 565, 606
566, 566, 600
567, 567, 636
568, 568, 616
569, 569, 591
570, 570, 568
571, 571, 587
572, 572, 595
573, 573, 616
574, 574, 602
575, 575, 601
576, 576, 584
577, 577, 590
578, 578, 570
579, 579, 631
580, 580, 534
581, 581, 587
582, 582, 568
583, 583, 581
