Start Time, Tue Feb 17 17:33:07 GMT+0000 2026
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 337267.986639
Real Time (s), 337289.391285
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
344, 344, 1989
345, 345, 2077
346, 346, 2084
347, 347, 1959
348, 348, 1999
349, 349, 2007
350, 350, 1952
351, 351, 1959
352, 352, 1943
353, 353, 1916
354, 354, 1973
355, 355, 1854
356, 356, 1888
357, 357, 1825
358, 358, 1824
359, 359, 1794
360, 360, 1731
361, 361, 1829
362, 362, 1730
363, 363, 1737
364, 364, 1737
365, 365, 1733
366, 366, 1695
367, 367, 1743
368, 368, 1816
369, 369, 1751
370, 370, 1755
371, 371, 1607
372, 372, 1665
373, 373, 1665
374, 374, 1658
375, 375, 1672
376, 376, 1669
377, 377, 1650
378, 378, 1722
379, 379, 1574
380, 380, 1681
381, 381, 1561
382, 382, 1654
383, 383, 1648
384, 384, 1590
385, 385, 1624
386, 386, 1648
387, 387, 1686
388, 388, 1640
389, 389, 1522
390, 390, 1624
391, 391, 1636
392, 392, 1517
393, 393, 1560
394, 394, 1601
395, 395, 1545
396, 396, 1543
397, 397, 1567
398, 398, 1546
399, 399, 1573
400, 400, 1514
401, 401, 1556
402, 402, 1566
403, 403, 1569
404, 404, 1531
405, 405, 1546
406, 406, 1502
407, 407, 1540
408, 408, 1543
409, 409, 1513
410, 410, 1441
411, 411, 1542
412, 412, 1516
413, 413, 1436
414, 414, 1482
415, 415, 1509
416, 416, 1457
417, 417, 1442
418, 418, 1388
419, 419, 1454
420, 420, 1355
421, 421, 1353
422, 422, 1365
423, 423, 1367
424, 424, 1355
425, 425, 1366
426, 426, 1366
427, 427, 1325
428, 428, 1344
429, 429, 1291
430, 430, 1334
431, 431, 1273
432, 432, 1279
433, 433, 1336
434, 434, 1277
435, 435, 1271
436, 436, 1307
437, 437, 1264
438, 438, 1251
439, 439, 1334
440, 440, 1254
441, 441, 1318
442, 442, 1182
443, 443, 1182
444, 444, 1283
445, 445, 1272
446, 446, 1205
447, 447, 1241
448, 448, 1197
449, 449, 1228
450, 450, 1206
451, 451, 1195
452, 452, 1220
453, 453, 1215
454, 454, 1243
455, 455, 1208
456, 456, 1248
457, 457, 1218
458, 458, 1242
459, 459, 1233
460, 460, 1162
461, 461, 1227
462, 462, 1228
463, 463, 1204
464, 464, 1199
465, 465, 1153
466, 466, 1236
467, 467, 1304
468, 468, 1268
469, 469, 1175
470, 470, 1204
471, 471, 1196
472, 472, 1150
473, 473, 1212
474, 474, 1252
475, 475, 1256
476, 476, 1161
477, 477, 1171
478, 478, 1182
479, 479, 1169
480, 480, 1141
481, 481, 1154
482, 482, 1167
483, 483, 1178
484, 484, 1129
485, 485, 1147
486, 486, 1157
487, 487, 1147
488, 488, 1130
489, 489, 1094
490, 490, 1087
491, 491, 1129
492, 492, 1034
493, 493, 1114
494, 494, 1098
495, 495, 1080
496, 496, 1067
497, 497, 1079
498, 498, 1012
499, 499, 1083
500, 500, 1058
501, 501, 1046
502, 502, 1000
503, 503, 988
504, 504, 982
505, 505, 968
506, 506, 961
507, 507, 1001
508, 508, 943
509, 509, 953
510, 510, 912
511, 511, 902
512, 512, 908
513, 513, 888
514, 514, 879
515, 515, 887
516, 516, 877
517, 517, 854
518, 518, 891
519, 519, 907
520, 520, 840
521, 521, 838
522, 522, 920
523, 523, 819
524, 524, 866
525, 525, 829
526, 526, 824
527, 527, 907
528, 528, 850
529, 529, 823
530, 530, 814
531, 531, 835
532, 532, 816
533, 533, 814
534, 534, 824
535, 535, 783
536, 536, 778
537, 537, 779
538, 538, 763
539, 539, 799
540, 540, 763
541, 541, 782
542, 542, 753
543, 543, 808
544, 544, 798
545, 545, 827
546, 546, 846
547, 547, 761
548, 548, 813
549, 549, 798
550, 550, 805
551, 551, 829
552, 552, 832
553, 553, 767
554, 554, 756
555, 555, 770
556, 556, 739
557, 557, 772
558, 558, 718
559, 559, 759
560, 560, 766
561, 561, 793
562, 562, 744
563, 563, 754
564, 564, 732
565, 565, 747
566, 566, 719
567, 567, 742
568, 568, 744
569, 569, 731
570, 570, 713
571, 571, 717
572, 572, 720
573, 573, 738
574, 574, 679
575, 575, 701
576, 576, 735
577, 577, 667
578, 578, 726
579, 579, 692
580, 580, 692
581, 581, 714
582, 582, 717
583, 583, 693
584, 584, 702
585, 585, 707
586, 586, 662
587, 587, 686
588, 588, 699
589, 589, 668
590, 590, 661
591, 591, 663
592, 592, 682
593, 593, 658
594, 594, 752
595, 595, 670
596, 596, 681
597, 597, 668
598, 598, 647
599, 599, 663
600, 600, 677
601, 601, 698
602, 602, 648
603, 603, 674
604, 604, 659
605, 605, 644
606, 606, 648
607, 607, 671
608, 608, 623
609, 609, 624
610, 610, 641
611, 611, 721
612, 612, 631
613, 613, 645
614, 614, 686
615, 615, 653
616, 616, 660
617, 617, 650
618, 618, 679
619, 619, 612
620, 620, 619
621, 621, 598
622, 622, 701
623, 623, 609
624, 624, 662
625, 625, 677
626, 626, 632
627, 627, 650
628, 628, 612
629, 629, 689
630, 630, 636
631, 631, 585
632, 632, 587
633, 633, 636
634, 634, 644
635, 635, 665
636, 636, 624
637, 637, 739
638, 638, 663
639, 639, 644
640, 640, 678
641, 641, 651
642, 642, 663
643, 643, 681
644, 644, 609
645, 645, 643
646, 646, 607
647, 647, 647
648, 648, 645
649, 649, 642
650, 650, 675
651, 651, 699
652, 652, 698
653, 653, 613
654, 654, 667
655, 655, 685
656, 656, 656
657, 657, 698
658, 658, 700
659, 659, 664
660, 660, 676
661, 661, 714
662, 662, 704
663, 663, 685
664, 664, 730
665, 665, 684
666, 666, 718
667, 667, 702
668, 668, 702
669, 669, 710
670, 670, 689
671, 671, 735
672, 672, 730
673, 673, 753
674, 674, 722
675, 675, 740
676, 676, 740
677, 677, 770
678, 678, 731
679, 679, 783
680, 680, 752
681, 681, 732
682, 682, 765
683, 683, 739
684, 684, 728
685, 685, 758
686, 686, 792
687, 687, 719
688, 688, 804
689, 689, 675
690, 690, 752
691, 691, 710
692, 692, 780
693, 693, 722
694, 694, 735
695, 695, 718
696, 696, 734
697, 697, 706
698, 698, 696
699, 699, 702
700, 700, 772
701, 701, 756
702, 702, 684
703, 703, 657
704, 704, 648
705, 705, 654
706, 706, 711
707, 707, 701
708, 708, 673
709, 709, 681
710, 710, 670
711, 711, 629
712, 712, 639
713, 713, 631
714, 714, 594
715, 715, 591
716, 716, 575
717, 717, 613
718, 718, 576
719, 719, 612
720, 720, 613
721, 721, 576
722, 722, 569
723, 723, 580
724, 724, 564
725, 725, 535
726, 726, 570
727, 727, 579
728, 728, 540
729, 729, 539
730, 730, 543
731, 731, 542
732, 732, 504
733, 733, 532
734, 734, 491
735, 735, 509
736, 736, 542
737, 737, 501
738, 738, 508
739, 739, 502
740, 740, 480
741, 741, 537
742, 742, 489
743, 743, 471
744, 744, 496
745, 745, 496
746, 746, 467
747, 747, 486
748, 748, 441
749, 749, 526
750, 750, 458
751, 751, 499
752, 752, 454
753, 753, 501
754, 754, 481
755, 755, 489
756, 756, 462
757, 757, 489
758, 758, 520
759, 759, 455
760, 760, 483
761, 761, 497
762, 762, 453
763, 763, 469
764, 764, 443
765, 765, 509
766, 766, 530
767, 767, 462
768, 768, 489
769, 769, 462
770, 770, 479
771, 771, 537
772, 772, 502
773, 773, 485
774, 774, 515
775, 775, 485
776, 776, 506
777, 777, 435
778, 778, 531
779, 779, 503
780, 780, 504
781, 781, 517
782, 782, 499
783, 783, 496
784, 784, 526
785, 785, 467
786, 786, 519
787, 787, 471
788, 788, 464
789, 789, 535
790, 790, 490
791, 791, 510
792, 792, 545
793, 793, 548
794, 794, 505
795, 795, 533
796, 796, 500
797, 797, 516
798, 798, 545
799, 799, 486
800, 800, 522
801, 801, 481
802, 802, 504
803, 803, 511
804, 804, 508
805, 805, 526
806, 806, 517
807, 807, 492
808, 808, 474
809, 809, 521
810, 810, 489
811, 811, 526
812, 812, 511
813, 813, 492
814, 814, 482
815, 815, 525
816, 816, 489
817, 817, 524
818, 818, 498
819, 819, 494
820, 820, 547
821, 821, 478
822, 822, 478
823, 823, 489
824, 824, 462
825, 825, 471
826, 826, 492
827, 827, 465
828, 828, 475
829, 829, 473
830, 830, 481
831, 831, 449
832, 832, 470
833, 833, 440
834, 834, 441
835, 835, 450
836, 836, 440
837, 837, 419
838, 838, 431
839, 839, 415
840, 840, 401
841, 841, 430
842, 842, 399
843, 843, 390
844, 844, 408
845, 845, 423
846, 846, 393
847, 847, 387
848, 848, 451
849, 849, 424
850, 850, 369
851, 851, 433
852, 852, 423
853, 853, 398
854, 854, 370
855, 855, 394
856, 856, 390
857, 857, 421
858, 858, 369
859, 859, 350
860, 860, 368
861, 861, 352
862, 862, 360
863, 863, 360
864, 864, 374
865, 865, 353
866, 866, 357
867, 867, 358
868, 868, 380
869, 869, 337
