Start Time, Mon Feb 23 13:49:17 GMT+0000 2026
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 271945.569719
Real Time (s), 271983.791289
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
344, 344, 4505
345, 345, 4544
346, 346, 4383
347, 347, 4349
348, 348, 4364
349, 349, 4321
350, 350, 4511
351, 351, 4274
352, 352, 4312
353, 353, 4192
354, 354, 4188
355, 355, 4329
356, 356, 4016
357, 357, 4237
358, 358, 4146
359, 359, 4145
360, 360, 4034
361, 361, 4059
362, 362, 3985
363, 363, 3932
364, 364, 4038
365, 365, 3965
366, 366, 3941
367, 367, 3947
368, 368, 3911
369, 369, 3844
370, 370, 3962
371, 371, 3871
372, 372, 3873
373, 373, 3941
374, 374, 3846
375, 375, 3900
376, 376, 3799
377, 377, 3799
378, 378, 3750
379, 379, 3785
380, 380, 3646
381, 381, 3714
382, 382, 3636
383, 383, 3757
384, 384, 3670
385, 385, 3627
386, 386, 3682
387, 387, 3596
388, 388, 3627
389, 389, 3652
390, 390, 3732
391, 391, 3633
392, 392, 3601
393, 393, 3696
394, 394, 3650
395, 395, 3669
396, 396, 3560
397, 397, 3669
398, 398, 3528
399, 399, 3612
400, 400, 3575
401, 401, 3534
402, 402, 3606
403, 403, 3551
404, 404, 3536
405, 405, 3496
406, 406, 3613
407, 407, 3537
408, 408, 3544
409, 409, 3588
410, 410, 3581
411, 411, 3453
412, 412, 3410
413, 413, 3513
414, 414, 3464
415, 415, 3471
416, 416, 3398
417, 417, 3328
418, 418, 3346
419, 419, 3439
420, 420, 3517
421, 421, 3345
422, 422, 3344
423, 423, 3358
424, 424, 3343
425, 425, 3317
426, 426, 3337
427, 427, 3325
428, 428, 3305
429, 429, 3259
430, 430, 3344
431, 431, 3201
432, 432, 3289
433, 433, 3280
434, 434, 3300
435, 435, 3310
436, 436, 3340
437, 437, 3230
438, 438, 3311
439, 439, 3254
440, 440, 3124
441, 441, 3294
442, 442, 3189
443, 443, 3210
444, 444, 3257
445, 445, 3201
446, 446, 3267
447, 447, 3255
448, 448, 3236
449, 449, 3256
450, 450, 3222
451, 451, 3091
452, 452, 3219
453, 453, 3257
454, 454, 3218
455, 455, 3279
456, 456, 3178
