Start Time, Thu Mar 5 14:39:04 GMT+0000 2026
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 76990.224334
Real Time (s), 76999.889599
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
351, 351, 1043
352, 352, 919
353, 353, 979
354, 354, 1014
355, 355, 1033
356, 356, 948
357, 357, 967
358, 358, 964
359, 359, 938
360, 360, 991
361, 361, 896
362, 362, 931
363, 363, 916
364, 364, 955
365, 365, 918
366, 366, 881
367, 367, 923
368, 368, 913
369, 369, 979
370, 370, 890
371, 371, 886
372, 372, 924
373, 373, 895
374, 374, 910
375, 375, 890
376, 376, 906
377, 377, 944
378, 378, 891
379, 379, 902
380, 380, 875
381, 381, 897
382, 382, 912
383, 383, 938
384, 384, 879
385, 385, 932
386, 386, 880
387, 387, 943
388, 388, 869
389, 389, 854
390, 390, 853
391, 391, 951
392, 392, 886
393, 393, 905
394, 394, 838
395, 395, 908
396, 396, 871
397, 397, 870
398, 398, 854
399, 399, 906
400, 400, 863
401, 401, 891
402, 402, 942
403, 403, 810
404, 404, 876
405, 405, 813
406, 406, 897
407, 407, 893
408, 408, 832
409, 409, 800
410, 410, 854
411, 411, 879
412, 412, 844
413, 413, 888
414, 414, 863
415, 415, 827
416, 416, 819
417, 417, 823
418, 418, 878
419, 419, 883
420, 420, 876
421, 421, 825
422, 422, 862
423, 423, 847
424, 424, 894
425, 425, 830
426, 426, 856
427, 427, 831
428, 428, 818
429, 429, 812
430, 430, 778
431, 431, 819
432, 432, 794
433, 433, 833
434, 434, 820
435, 435, 797
436, 436, 842
437, 437, 801
438, 438, 816
439, 439, 789
440, 440, 787
441, 441, 769
442, 442, 807
443, 443, 832
444, 444, 746
445, 445, 791
446, 446, 825
447, 447, 772
448, 448, 810
449, 449, 795
450, 450, 807
451, 451, 831
452, 452, 744
453, 453, 797
454, 454, 808
455, 455, 838
456, 456, 764
457, 457, 820
458, 458, 804
459, 459, 840
460, 460, 809
461, 461, 776
462, 462, 787
463, 463, 767
464, 464, 808
465, 465, 718
466, 466, 789
467, 467, 762
468, 468, 788
469, 469, 758
470, 470, 745
471, 471, 779
472, 472, 744
473, 473, 800
474, 474, 751
475, 475, 752
476, 476, 741
477, 477, 760
478, 478, 794
479, 479, 751
480, 480, 775
481, 481, 762
482, 482, 758
483, 483, 745
484, 484, 713
485, 485, 762
486, 486, 761
487, 487, 706
488, 488, 777
489, 489, 751
490, 490, 747
491, 491, 722
492, 492, 699
493, 493, 698
494, 494, 757
495, 495, 792
496, 496, 726
497, 497, 732
498, 498, 713
499, 499, 729
500, 500, 715
501, 501, 715
502, 502, 741
503, 503, 715
504, 504, 682
505, 505, 689
