Start Time, Mon Mar 2 16:45:32 GMT+0000 2026
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 83892.401087
Real Time (s), 83902.374431
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
351, 351, 1005
352, 352, 964
353, 353, 970
354, 354, 953
355, 355, 955
356, 356, 934
357, 357, 1015
358, 358, 936
359, 359, 928
360, 360, 941
361, 361, 918
362, 362, 941
363, 363, 934
364, 364, 873
365, 365, 873
366, 366, 941
367, 367, 912
368, 368, 914
369, 369, 933
370, 370, 912
371, 371, 961
372, 372, 917
373, 373, 940
374, 374, 921
375, 375, 937
376, 376, 889
377, 377, 938
378, 378, 938
379, 379, 912
380, 380, 922
381, 381, 885
382, 382, 854
383, 383, 922
384, 384, 891
385, 385, 899
386, 386, 936
387, 387, 893
388, 388, 863
389, 389, 893
390, 390, 876
391, 391, 868
392, 392, 934
393, 393, 890
394, 394, 899
395, 395, 884
396, 396, 826
397, 397, 925
398, 398, 948
399, 399, 823
400, 400, 921
401, 401, 874
402, 402, 899
403, 403, 865
404, 404, 886
405, 405, 912
406, 406, 843
407, 407, 856
408, 408, 853
409, 409, 864
410, 410, 899
411, 411, 838
412, 412, 858
413, 413, 873
414, 414, 894
415, 415, 861
416, 416, 856
417, 417, 830
418, 418, 807
419, 419, 832
420, 420, 896
421, 421, 806
422, 422, 835
423, 423, 841
424, 424, 817
425, 425, 822
426, 426, 767
427, 427, 771
428, 428, 802
429, 429, 824
430, 430, 832
431, 431, 840
432, 432, 785
433, 433, 799
434, 434, 778
435, 435, 850
436, 436, 818
437, 437, 797
438, 438, 773
439, 439, 820
440, 440, 806
441, 441, 785
442, 442, 784
443, 443, 817
444, 444, 747
445, 445, 813
446, 446, 804
447, 447, 801
448, 448, 786
449, 449, 795
450, 450, 768
451, 451, 786
452, 452, 741
453, 453, 759
454, 454, 793
455, 455, 815
456, 456, 810
457, 457, 775
458, 458, 796
459, 459, 754
460, 460, 773
461, 461, 754
462, 462, 781
463, 463, 769
464, 464, 740
465, 465, 742
466, 466, 745
467, 467, 746
468, 468, 749
469, 469, 744
470, 470, 742
471, 471, 773
472, 472, 827
473, 473, 734
474, 474, 739
475, 475, 754
476, 476, 755
477, 477, 727
478, 478, 782
479, 479, 752
480, 480, 725
481, 481, 728
482, 482, 804
483, 483, 716
484, 484, 715
485, 485, 724
486, 486, 734
487, 487, 743
488, 488, 738
489, 489, 749
490, 490, 760
491, 491, 801
492, 492, 756
493, 493, 755
494, 494, 703
495, 495, 749
496, 496, 667
497, 497, 721
498, 498, 719
499, 499, 720
500, 500, 699
501, 501, 709
502, 502, 733
503, 503, 700
504, 504, 723
505, 505, 693
506, 506, 677
507, 507, 735
508, 508, 725
509, 509, 728
510, 510, 697
511, 511, 717
512, 512, 678
513, 513, 674
514, 514, 714
515, 515, 692
516, 516, 644
517, 517, 672
518, 518, 675
519, 519, 678
520, 520, 670
521, 521, 664
522, 522, 709
523, 523, 668
524, 524, 641
525, 525, 649
526, 526, 648
527, 527, 691
528, 528, 677
529, 529, 656
530, 530, 696
531, 531, 689
532, 532, 665
533, 533, 680
534, 534, 692
535, 535, 688
536, 536, 654
537, 537, 654
538, 538, 671
539, 539, 669
540, 540, 660
541, 541, 693
542, 542, 692
543, 543, 679
544, 544, 612
545, 545, 647
546, 546, 694
547, 547, 669
548, 548, 656
549, 549, 698
550, 550, 713
551, 551, 635
552, 552, 668
553, 553, 654
554, 554, 677
555, 555, 648
556, 556, 630
557, 557, 666
558, 558, 644
559, 559, 664
560, 560, 656
561, 561, 668
562, 562, 670
563, 563, 662
564, 564, 650
565, 565, 593
566, 566, 622
567, 567, 659
568, 568, 623
569, 569, 671
570, 570, 615
571, 571, 644
572, 572, 665
573, 573, 661
574, 574, 653
575, 575, 641
576, 576, 646
577, 577, 671
578, 578, 591
579, 579, 643
580, 580, 661
581, 581, 656
582, 582, 620
583, 583, 645
584, 584, 652
585, 585, 648
586, 586, 621
587, 587, 610
588, 588, 653
589, 589, 604
590, 590, 628
591, 591, 614
592, 592, 661
593, 593, 646
594, 594, 655
595, 595, 596
596, 596, 580
597, 597, 606
598, 598, 582
599, 599, 642
600, 600, 644
601, 601, 638
602, 602, 619
603, 603, 640
604, 604, 579
605, 605, 632
606, 606, 592
607, 607, 638
608, 608, 648
609, 609, 623
610, 610, 636
611, 611, 669
612, 612, 673
613, 613, 620
614, 614, 661
615, 615, 629
616, 616, 662
617, 617, 620
618, 618, 604
619, 619, 624
620, 620, 560
621, 621, 595
622, 622, 619
623, 623, 602
624, 624, 629
625, 625, 627
626, 626, 639
627, 627, 630
628, 628, 620
629, 629, 620
630, 630, 629
631, 631, 667
632, 632, 578
633, 633, 618
634, 634, 645
635, 635, 637
636, 636, 610
637, 637, 603
638, 638, 630
639, 639, 591
640, 640, 636
641, 641, 645
642, 642, 585
643, 643, 600
644, 644, 638
645, 645, 580
646, 646, 620
647, 647, 663
648, 648, 575
649, 649, 609
650, 650, 627
651, 651, 611
652, 652, 639
653, 653, 673
654, 654, 627
655, 655, 623
656, 656, 625
657, 657, 643
658, 658, 653
659, 659, 660
660, 660, 633
661, 661, 646
662, 662, 644
663, 663, 630
664, 664, 598
665, 665, 635
666, 666, 647
667, 667, 669
668, 668, 616
669, 669, 644
670, 670, 625
671, 671, 702
672, 672, 639
673, 673, 649
674, 674, 622
675, 675, 630
676, 676, 664
677, 677, 585
678, 678, 625
679, 679, 643
680, 680, 622
681, 681, 667
682, 682, 616
683, 683, 623
684, 684, 674
685, 685, 606
686, 686, 603
687, 687, 602
688, 688, 593
689, 689, 631
690, 690, 611
691, 691, 676
692, 692, 634
693, 693, 639
694, 694, 616
695, 695, 630
696, 696, 678
697, 697, 612
698, 698, 599
699, 699, 596
700, 700, 604
701, 701, 598
702, 702, 630
703, 703, 619
704, 704, 637
705, 705, 601
706, 706, 625
707, 707, 569
708, 708, 585
709, 709, 603
710, 710, 640
711, 711, 556
712, 712, 606
713, 713, 564
714, 714, 616
715, 715, 572
716, 716, 576
717, 717, 591
718, 718, 589
719, 719, 545
720, 720, 600
721, 721, 544
722, 722, 569
723, 723, 564
724, 724, 579
725, 725, 586
726, 726, 623
727, 727, 534
728, 728, 607
729, 729, 567
730, 730, 580
731, 731, 541
732, 732, 528
733, 733, 571
734, 734, 550
