Start Time, Wed Mar 4 16:11:53 GMT+0000 2026
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 80648.034719
Real Time (s), 80657.664186
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
352, 352, 916
353, 353, 918
354, 354, 905
355, 355, 938
356, 356, 962
357, 357, 918
358, 358, 946
359, 359, 940
360, 360, 933
361, 361, 988
362, 362, 907
363, 363, 945
364, 364, 906
365, 365, 997
366, 366, 892
367, 367, 905
368, 368, 933
369, 369, 867
370, 370, 888
371, 371, 885
372, 372, 864
373, 373, 867
374, 374, 909
375, 375, 873
376, 376, 886
377, 377, 888
378, 378, 889
379, 379, 936
380, 380, 902
381, 381, 826
382, 382, 881
383, 383, 900
384, 384, 855
385, 385, 892
386, 386, 922
387, 387, 886
388, 388, 888
389, 389, 879
390, 390, 830
391, 391, 862
392, 392, 894
393, 393, 878
394, 394, 856
395, 395, 864
396, 396, 875
397, 397, 832
398, 398, 851
399, 399, 862
400, 400, 908
401, 401, 804
402, 402, 865
403, 403, 867
404, 404, 830
405, 405, 858
406, 406, 850
407, 407, 827
408, 408, 840
409, 409, 834
410, 410, 829
411, 411, 814
412, 412, 869
413, 413, 862
414, 414, 841
415, 415, 822
416, 416, 807
417, 417, 809
418, 418, 791
419, 419, 828
420, 420, 846
421, 421, 843
422, 422, 790
423, 423, 829
424, 424, 772
425, 425, 803
426, 426, 846
427, 427, 834
428, 428, 794
429, 429, 832
430, 430, 823
431, 431, 833
432, 432, 817
433, 433, 800
434, 434, 770
435, 435, 799
436, 436, 729
437, 437, 789
438, 438, 781
439, 439, 759
440, 440, 785
441, 441, 818
442, 442, 764
443, 443, 776
444, 444, 769
445, 445, 792
446, 446, 754
447, 447, 773
448, 448, 793
449, 449, 742
450, 450, 742
451, 451, 828
452, 452, 809
453, 453, 755
454, 454, 775
455, 455, 724
456, 456, 775
457, 457, 773
458, 458, 776
459, 459, 748
460, 460, 740
461, 461, 746
462, 462, 799
463, 463, 715
464, 464, 779
465, 465, 787
466, 466, 735
467, 467, 745
468, 468, 757
469, 469, 720
470, 470, 734
471, 471, 734
472, 472, 760
473, 473, 748
474, 474, 751
475, 475, 796
476, 476, 742
477, 477, 698
478, 478, 765
479, 479, 708
480, 480, 752
481, 481, 765
482, 482, 727
483, 483, 715
484, 484, 749
485, 485, 758
486, 486, 758
487, 487, 741
488, 488, 717
489, 489, 722
490, 490, 718
491, 491, 724
492, 492, 721
493, 493, 733
494, 494, 727
495, 495, 682
496, 496, 742
497, 497, 695
498, 498, 714
499, 499, 715
500, 500, 725
501, 501, 708
502, 502, 658
503, 503, 713
504, 504, 707
505, 505, 724
506, 506, 680
507, 507, 710
508, 508, 676
509, 509, 688
510, 510, 641
511, 511, 704
512, 512, 707
513, 513, 669
514, 514, 683
515, 515, 685
516, 516, 647
517, 517, 692
518, 518, 692
519, 519, 639
520, 520, 668
521, 521, 675
522, 522, 709
523, 523, 626
524, 524, 676
525, 525, 668
526, 526, 675
527, 527, 641
528, 528, 680
529, 529, 650
530, 530, 668
531, 531, 668
532, 532, 677
533, 533, 688
534, 534, 621
